"0hr"	"9.5hr"	"11.5hr"	"13.5hr"	"15.5hr"	"18.5hr"	"20.5hr"
"395"	-0.103	0.218	0.027	NA	0.16	0.312	0.155
"396"	0.285	0.099	0.123	0.113	0.145	0.215	0.004
"397"	-0.149	0.035	0.176	-0.127	-0.052	0.853	0.21
"398"	0.263	0.176	0.294	-0.03	-0.006	-1.146	-1.481
"399"	0.367	0.316	0.476	-0.341	-0.64	-1.368	-1.172
"400"	0.047	0.259	0.058	-0.001	-0.061	0.394	0.475
"401"	-0.59	-0.169	-0.099	0.153	0.422	0.57	0.746
"402"	0.27	-0.024	-0.395	-0.68	-0.705	-1.329	-0.629
"403"	-0.207	-0.075	-0.362	-0.072	-0.184	-0.897	-0.726
"404"	0.087	-0.044	0.29	0.118	-0.202	0.004	0.303
"405"	0.19	0.328	0.249	0.226	0.1	-0.322	-0.022
"406"	0.111	-0.156	-0.567	-0.532	-0.801	-0.674	-0.834
"407"	-0.02	0.042	0.13	0.162	-0.098	0.868	0.865
"408"	-0.026	-0.184	0.071	0.19	0.138	0.556	0.684
"409"	0.24	0.241	0.121	0.154	0.175	-0.555	0.377
"410"	0.068	-0.021	0.126	0.032	-0.159	-0.737	-0.687
"411"	-0.157	-0.009	0.276	0.129	-0.042	0.984	0.75
"412"	0.222	-0.003	-0.373	-0.28	-0.505	-0.882	-0.058
"413"	0.182	0.307	0.467	0.042	0.02	-0.391	0.66
"414"	-0.254	-0.003	0.476	1.106	1.058	2.87	3.311
"415"	0.175	0.37	0.49	1.098	1.313	2.142	2.753
"416"	-0.071	-0.181	-0.019	-0.395	-0.743	-1.834	-1.658
"417"	-0.02	0.003	0.015	-0.106	-0.138	-0.042	-0.089
"418"	-0.376	-0.121	0.375	0.048	-0.496	1.469	0.81
"419"	0.08	-0.04	-0.258	-0.261	-0.459	-0.637	-1.052
"420"	-0.011	-0.247	-0.357	-0.479	-0.456	-0.657	-1.239
"421"	0.078	0.116	-0.095	-0.386	-0.388	-1.025	-1.271
"422"	-0.421	-0.229	0.123	0.301	-0.185	1.066	0.534
"423"	0.032	0.003	0.4	0.018	0.028	0.828	0.722
"424"	0.26	0.22	0.254	-0.094	-0.261	-1.585	-2.035
"425"	-0.234	-0.143	0.292	-0.014	-0.527	0.683	0.161
"426"	-0.407	0.109	0.605	0.121	-0.242	0.806	0.156
"427"	-0.212	0.014	0.096	-0.144	-0.349	0.314	0.262
"428"	0.114	0.316	-0.007	-0.094	-0.264	-0.811	0.387
"429"	0.082	0.257	0.183	0.172	-0.02	0.068	0.752
"430"	-0.031	0.153	0.584	0.458	0.162	0.388	0.667
"431"	0.223	0.51	0.746	0.153	0.154	-0.326	-0.402
"432"	-0.308	0.144	0.235	NA	-0.454	0.548	0.123
"433"	-0.065	0.283	0.205	NA	0.162	0.224	-0.352
"434"	-0.677	-0.12	0.615	NA	-0.211	1.724	1.172
"435"	-0.07	-0.118	0.122	NA	-0.159	0.821	0.355
"436"	-0.222	-0.004	0.232	-0.196	-0.843	1.565	3.635
"437"	0.031	0.399	0.91	0.793	0.599	1.313	1.05
"438"	-0.692	-0.159	0.389	-0.58	-0.943	0.898	0.564
"439"	0.017	-0.057	0.079	-0.241	-0.389	0.304	-0.366
"440"	-1.027	-0.241	0.239	-0.662	-1.459	1.44	0.301
"441"	-0.241	0.087	0.047	-0.017	-0.081	0.239	0.254
"442"	-0.495	0.008	-0.309	-0.464	-0.063	0.665	0.491
"443"	0.189	0.254	-0.031	-0.3	-0.623	-1.005	-1.326
"444"	-0.485	0.087	0.149	0.325	-0.18	0.504	0.442
"445"	-0.043	0.3	-0.204	-0.414	-0.468	-0.498	-0.532
"446"	-0.105	0.07	0.041	0.062	-0.151	0.556	0.313
"447"	-0.094	0.25	-0.036	-0.182	-0.517	0.212	-0.077
"448"	0.28	0.16	0.145	-0.045	-0.495	-1.589	-1.034
"449"	0.145	0.093	0.265	0.099	-0.047	-0.523	-0.608
"450"	0.235	0.056	0.326	0.079	-0.095	-1.056	-1.721
"451"	0.255	0.224	0.23	0.169	0.113	0.402	-0.417
"452"	0.032	0.47	-0.117	-0.04	-0.2	-0.262	-0.399
"453"	0.372	0.316	0.424	0.089	-0.175	-0.456	-0.062
"454"	0.137	0.201	-0.032	0.089	0.021	-0.205	-0.22
"455"	-0.833	NA	0.425	-0.206	-0.285	1.31	NA
"456"	-0.108	NA	-0.027	0.11	-0.113	0.102	NA
"457"	0.172	0.068	-0.106	0.076	-0.068	-0.306	NA
"458"	0.281	0.332	-0.234	-0.173	-0.28	-0.602	-0.617
"459"	-0.101	0.254	-0.145	-0.033	-0.208	0.941	-0.295
"460"	0.206	0.203	0.111	0.337	0.125	-1.148	-1.783
"461"	-0.035	0.251	0.061	0.516	0.129	0.767	0.265
"462"	-0.126	0.106	0.219	0.031	0.094	0.783	0.473
"463"	-0.501	0.329	-0.055	-0.151	0.233	0.965	0.449
"464"	0.032	0.485	-0.017	0.057	-0.11	-0.304	0.015
"465"	-0.144	0.255	0.116	0.219	-0.185	1.198	0.386
"466"	0.066	0.487	0.689	1.205	0.883	1.606	1.666
"467"	-0.263	0.259	-0.106	-0.12	-0.174	0.854	0.353
"468"	0.207	0.095	-0.507	-0.432	-1.045	-1.443	-0.931
"469"	0	0.353	0.365	-0.11	0.065	0.482	0.834
"470"	-0.231	0.137	0.291	-0.286	0.822	0.892	0.444
"471"	-0.18	0.179	0.229	0.319	-0.275	1.129	0.261
"472"	0.443	0.454	-0.074	-0.805	-0.98	-1.398	-1.287
"473"	0.203	0.477	0.143	0.164	-0.054	0.359	0.191
"474"	0.036	0.231	-0.693	-0.34	-0.527	-0.097	0.131
"475"	0.1	0.516	-0.074	0.102	-0.022	-0.275	-0.197
"476"	-0.504	0.448	0.189	-0.217	-0.016	0.927	0.528
"477"	-0.306	0.392	-0.049	-0.158	-0.152	0.331	0.102
"478"	0.138	0.352	0.337	0.188	-0.059	-0.091	0.57
"479"	0.154	0.463	-0.105	0.116	-0.165	-0.439	-0.075
"480"	0.203	0.313	-0.091	0.132	0.118	-0.124	0.005
"481"	-0.078	0.5	0.561	1.766	2.508	3.716	3.849
"482"	0.046	0.789	-0.001	0.039	0.407	0.546	0.381
"483"	0.103	0.142	0.409	0.621	0.797	0.832	1.246
"484"	0.126	0.445	0.151	0.314	0.166	0.254	-0.092
"485"	0.115	0.19	-0.369	-0.569	-0.698	-1.038	-1.155
"486"	-0.149	0.776	-0.43	-0.392	-0.334	-0.294	-0.352
"487"	0.034	0.384	0.041	0.464	0.485	1.095	0.241
"488"	-0.921	-1.438	0.079	-0.336	-0.402	0.643	0.71
"489"	-0.699	-1.211	-0.077	0.352	-0.115	1.219	NA
"490"	-0.325	-0.848	0.143	-0.196	-0.451	1	0.696
"491"	-0.465	-0.853	0.112	-0.03	-0.487	0.884	0.332
"492"	-0.192	-0.295	0.204	0.267	0.177	0.706	0.215
"493"	0.229	0.447	0.692	0.876	0.881	1.003	0.445
"494"	-0.013	0.012	0.165	0.246	-0.212	0.133	NA
"495"	0.165	0.079	0.4	0.319	-0.169	0.01	NA
"496"	0.135	0.465	0.112	0.205	-0.109	-0.116	NA
"497"	-0.004	NA	0.076	-0.026	-0.508	0.09	-0.038
"498"	-0.004	-0.69	0.309	0.02	-0.028	0.988	0.353
"499"	-1.057	-2.446	0.168	-1.16	-0.38	0.843	0.474
"500"	-0.297	-0.762	0.413	0.037	-0.378	0.942	0.367
"501"	-0.794	-0.817	0.682	0.216	-0.327	1.073	1.081
"502"	0.118	-0.023	0.134	0.318	0.333	0.85	0.384
"503"	-0.246	0.176	-0.156	0.01	0.448	0.745	0.219
"504"	0.019	-0.135	-0.195	0.04	-0.532	0.088	-0.759
"505"	-0.083	0.09	0.391	0.487	-0.311	0.858	0.248
"506"	-0.297	0.053	0.029	0.3	-0.232	0.798	0.414
"507"	-0.185	0.274	0.008	0.071	-0.229	1.163	0.57
"508"	-0.064	-0.427	0.746	0.404	0.764	1.528	0.974
"509"	-0.068	0.119	0.319	0.036	0.209	0.845	1.171
"510"	-0.015	0.054	-0.18	-0.207	0.069	-0.18	0.016
"511"	0.273	0.319	0.03	0.231	-0.074	-1.378	-1.133
"512"	-0.018	0.109	0.065	0.13	-0.299	0.756	0.716
"513"	0.197	0.445	0.626	0.345	0.309	-0.407	-0.848
"514"	0.173	0.025	-0.28	-0.56	-0.52	-0.16	-0.444
"515"	0.173	0.344	0.248	-0.19	-0.544	-0.669	-0.697
"516"	-0.24	-0.34	0.048	-0.215	-0.304	0.959	0.441
"517"	0.075	0.342	0.714	0.326	0.606	1.006	0.458
"518"	0.025	0.525	-0.024	0.022	-0.128	-0.484	0.19
"519"	0.383	0.213	-0.249	-0.09	-0.188	0.564	0.313
"520"	0	0.168	0.309	0.148	-0.334	0.504	0.574
"521"	0.141	0.074	0.179	0.205	0.382	0.09	0.127
"522"	0.031	0.006	0.162	0.036	0.194	-0.435	-0.826
"523"	0.106	-0.249	-0.448	-0.767	-0.927	-0.221	0.446
"524"	0.057	0.166	-0.118	-0.155	-0.15	-0.512	-0.49
"525"	-0.142	-0.469	-0.147	-0.268	-0.586	0.303	-0.098
"526"	0.1	0.313	-1.161	-0.65	-0.594	-0.693	2.224
"527"	-0.279	1.075	-0.519	-0.248	-0.403	-0.062	-0.178
"528"	-0.049	0.282	-0.205	0.022	-0.014	-0.106	-0.275
"529"	0.059	-0.165	-0.25	0.005	-0.082	0.416	-0.118
"530"	-0.042	-0.509	0.146	0.447	0.171	0.959	0.296
"531"	0.032	-0.06	0.479	0.598	0.596	0.448	0.522
"532"	0.128	0.303	-0.147	-0.122	-0.072	-0.373	-0.318
"533"	-0.457	-1.938	-0.592	-0.208	-0.438	0.067	NA
"534"	-0.348	-0.84	0.097	-0.044	-0.391	0.703	NA
"535"	-0.224	-0.429	0.406	0.463	0.3	0.81	0.611
"536"	0.082	-0.082	-0.2	0.14	0.058	0.767	-0.113
"537"	-0.047	NA	0.088	0.317	0.218	0.98	0.758
"538"	0.113	NA	0.176	-0.075	-0.21	0.033	-0.318
"539"	0.3	0.044	0.118	0.092	0.1	-0.337	-1.12
"540"	0.025	-0.168	0.574	0.367	0.038	0.591	0.272
"541"	-0.163	-0.068	-0.835	-0.548	-0.569	-0.177	-0.756
"542"	-0.218	-0.844	0.239	0.271	-0.13	1.036	0.008
"543"	-0.587	-1.019	0.232	-0.062	0.323	0.68	0.367
"544"	-1.063	-1.941	0.407	0.113	0.195	0.9	0.83
"545"	-0.15	-0.127	0.213	0.186	-0.03	0.097	-0.256
"546"	-1.674	-2.258	-0.627	-0.563	-3.66	1.05	0.446
"547"	-0.242	-1.085	0.157	-0.041	-0.082	1.332	0.678
"548"	-0.207	-0.939	0.02	-0.283	-0.714	0.517	0.015
"549"	0.14	0.056	0.235	-0.008	-0.114	0.855	0.946
"550"	-0.712	-2.446	0.307	0.069	-0.72	1.46	1.578
"551"	-0.309	-1.014	0.138	0.165	-0.019	1.05	0.807
"552"	-1.461	-1.806	-0.069	-0.839	-1.665	0.875	0.464
"553"	-0.061	-0.506	-0.654	-0.649	-1.113	0.721	0.577
"554"	0.147	0.051	-0.129	-0.385	-0.487	0.116	0.896
"555"	-0.057	-0.464	-0.204	-0.011	-0.261	1.006	1.351
"556"	-0.055	-0.163	-0.17	-0.119	-0.038	0.563	0.975
"557"	-1.322	-3.467	-0.051	-0.588	-4.222	1.594	1.012
"558"	0.169	0.079	0.611	0.184	0.493	0.66	0.568
"559"	0.199	0.199	0.625	0.371	0.523	0.386	-0.308
"560"	0.433	0.341	0.93	0.308	0.004	0.053	-0.384
"561"	-0.038	0.096	-0.133	-0.039	0.121	-0.108	-0.161
"562"	0.028	-0.057	-0.329	-0.108	0.065	0.257	0.323
"563"	0.203	0.018	0.294	0.238	0.102	0.267	0.322
"564"	-0.199	-0.608	-0.194	-0.036	-0.42	0.219	-0.145
"565"	-0.152	-0.366	-0.179	-0.025	-0.253	-0.055	-0.396
"566"	0.066	0.168	-0.118	-0.028	0.009	-0.293	-0.15
"567"	-0.163	-0.489	0.18	0.203	-0.034	0.908	0.612
"568"	-0.764	-1.28	-0.189	-0.129	-0.44	0.551	0.298
"569"	-0.295	-0.842	0.123	0.101	-0.269	0.288	-0.033
"570"	0.18	0.264	1.073	0.65	0.752	-0.603	-0.62
"571"	-0.132	-0.555	0.332	0.287	0.187	0.884	0.681
"572"	-0.3	-0.97	0.25	0.347	-0.118	1.008	NA
"573"	-0.038	-0.388	0.393	0.3	0.138	0.574	NA
"574"	-0.287	-0.92	0.121	-0.236	-0.802	0.485	0.576
"575"	-0.011	-0.372	0.426	-0.199	-0.558	-0.01	-0.408
"576"	-0.671	-1.204	0.367	0.277	-0.505	0.802	0.507
"577"	0.028	NA	-0.037	0.127	-0.026	0.819	0.307
"578"	0.056	NA	0.167	0.157	0.036	0.306	0.457
"579"	-0.139	NA	0.152	0.029	-0.145	0.972	0.339
"580"	-0.066	-0.119	-0.178	-0.05	-0.169	-0.119	-0.173
"581"	0.147	0.155	-0.017	0.088	0.071	-0.142	-0.09
"582"	-0.064	-0.158	0.16	0.511	0.644	1.48	1.661
"583"	0.165	-0.128	0.211	0.115	0.267	0.527	0.216
"584"	-0.013	-0.279	-0.625	-0.604	-0.327	-0.04	-0.264
"585"	0.246	0.148	-0.071	-0.065	-0.036	-0.164	-0.941
"586"	-0.028	-0.019	0.059	0.004	-0.162	0.179	0.051
"587"	0.033	-0.009	0.052	-0.174	-0.727	0.115	0.13
"588"	-0.4	-1.345	-0.282	-0.071	0.379	3.962	3.122
"589"	-0.047	-0.002	0.1	-0.152	-0.199	0.515	0.616
"590"	-0.64	-0.772	-0.184	NA	-0.879	1.024	0.504
"591"	0.183	0.269	-0.04	0.013	0.114	-1.222	-1.04
"592"	-0.053	0.061	-0.036	-0.047	0.179	0.005	-0.259
"593"	-0.202	-0.662	0.037	-0.183	-0.248	0.666	0.691
"594"	0.066	-0.09	0.082	-0.133	-0.134	0.788	2.834
"595"	0.069	-0.055	0.094	-0.308	-0.273	-0.175	-0.445
"596"	0.18	0.012	NA	-0.52	-0.483	-0.245	-0.952
"597"	0.313	0.275	NA	0.164	0.079	-0.876	-1.8
"598"	0.3	0.259	0.247	-0.153	-0.032	-0.804	-0.706
"599"	0.151	-0.053	-0.052	-0.08	-0.006	-0.259	-0.29
"600"	0.125	-0.007	0.316	-0.009	-0.321	-0.092	-0.447
"601"	0.009	-0.061	-0.03	0.108	0.292	-0.287	-0.181
"602"	-0.244	-0.332	-0.231	-0.03	0.009	0.055	-0.248
"603"	-0.216	-0.533	-0.243	-0.286	-0.577	0.392	-0.05
"604"	-0.105	-0.266	0.326	0.769	0.655	1.725	0.785
"605"	-0.111	-0.432	-0.072	0.038	0.038	0.499	-0.184
"606"	-0.095	-0.209	0.086	0.313	0.136	0.432	-0.159
"607"	-0.136	-0.483	0.126	0.09	-0.044	1.005	0.638
"608"	-0.201	-0.537	-0.068	0.207	-0.222	0.439	0.112
"609"	-0.056	-0.234	-0.059	0.144	-0.198	0.277	0.6
"610"	0.139	-0.021	0.38	0.4	0.257	0.692	0.247
"611"	0.379	-0.153	0.008	0.293	0.188	1.018	NA
"612"	0.024	-0.206	0.995	0.933	0.359	0.278	NA
"613"	-0.253	-0.706	-0.081	-0.072	-0.505	0.523	NA
"614"	0.272	0.236	-0.073	-0.415	-0.743	-1.121	-1.797
"615"	0.236	0.087	0.271	0.437	0.208	-0.348	0.511
"616"	0.259	0.118	0.026	-0.846	-0.963	-0.971	-1.643
"617"	-0.05	NA	-1.222	-0.454	-0.427	0.909	1.116
"618"	-0.153	NA	0.112	0.091	-0.147	0.472	-0.012
"619"	0.072	NA	0.092	-0.755	-1.085	0.138	-1.087
"620"	-0.671	NA	0.279	0.33	-0.036	1.061	0.039
"621"	0.09	0.01	0.078	0.086	0.008	0.12	-0.15
"622"	0.053	0.184	0.07	0.24	0.41	0.726	0.987
"623"	0.424	-0.275	0.012	-0.397	-0.592	-0.512	-1.223
"624"	0.247	-0.266	0.34	-0.563	-0.664	-0.075	-1.047
"625"	-0.069	-0.43	0.745	0.41	0.348	2.296	2.061
"626"	-0.157	-0.308	-0.111	-0.12	0.076	0.158	-0.003
"627"	-0.268	-0.438	-0.551	-0.05	0.226	1.168	0.698
"628"	0.102	-0.183	NA	0.315	0.678	1.167	0.321
"629"	0.276	0.189	NA	NA	0.787	1.322	0.649
"630"	0.148	-0.098	NA	-0.445	-0.493	0.349	0.12
"631"	-1.061	-4.479	NA	0.22	-0.285	2.12	0.627
"632"	0.114	-0.161	NA	-0.085	-0.022	0.318	0.606
"633"	0.312	0.216	NA	0.047	0.345	0.201	-0.597
"634"	0.004	-0.077	NA	0.277	0.343	1.626	1.14
"635"	0.166	0.002	NA	-0.356	-0.064	-0.727	-0.348
"636"	0.031	-0.138	-0.189	-0.327	-0.191	0.709	0.218
"637"	-0.017	-0.204	0.311	-0.001	-0.225	0.659	0.631
"638"	0.072	-0.151	0.214	-0.475	-0.282	-0.088	-0.186
"639"	0.207	0.22	0.239	0.031	0.238	1.36	0.725
"640"	-0.121	-0.186	0.549	0.29	-0.309	1.243	0.613
"641"	-0.119	-0.286	-0.189	-0.133	0.19	0.234	0.332
"642"	0.052	-0.047	-0.005	0.388	0.559	-0.287	-0.832
"643"	-0.597	-0.795	-0.436	-0.113	-0.284	0.593	0.019
"644"	-0.029	-0.186	-0.044	0.088	0.031	-0.066	-0.525
"645"	-0.257	-0.316	-0.081	0.321	0.243	0.442	-0.332
"646"	0.279	0.317	0.937	1.122	1.014	0.451	-0.4
"647"	-0.046	0.07	-0.112	0.081	0.246	-0.029	0.071
"648"	0	-0.302	-0.049	-0.342	-0.339	0.035	-0.203
"649"	0.289	0.072	0.123	0.306	0.05	-1.458	-1.592
"650"	0.16	0.148	0.349	0.457	0.538	-0.115	-0.394
"651"	0.026	-0.049	-0.069	-0.02	-0.121	-0.341	-0.28
"652"	0.127	-0.209	0.03	-0.245	-0.507	-0.033	-0.248
"653"	-0.106	-0.353	0.547	0.278	-0.009	0.86	0.547
"654"	0.144	0.142	0.246	-0.331	-0.489	-1.106	-0.613
"655"	-0.324	-0.785	0.269	-0.054	-0.393	0.668	0.715
"656"	0.069	0.144	0.065	-0.048	-0.206	0.36	0.431
"657"	0.027	NA	-0.01	-0.701	-1.004	-0.066	-0.074
"658"	-0.08	NA	0.21	0.04	-0.101	0.788	0.393
"659"	0.414	NA	0.086	0.032	-0.265	-1.544	-2.128
"660"	0.054	NA	-0.51	-0.214	-0.163	0.543	-0.031
"661"	0.148	0.111	0.253	0.284	-0.176	-0.002	0.367
"662"	-0.159	-0.596	0.459	0.432	0.247	1.131	0.665
"663"	-0.483	-0.801	NA	-0.041	-0.475	0.756	0.42
"664"	-0.111	-0.319	NA	NA	-0.476	0.616	0.204
"665"	0.099	0.217	NA	NA	-0.06	-0.543	-0.174
"666"	0.025	0.201	NA	NA	0.13	-0.016	0.286
"667"	0.055	0.209	NA	NA	0.009	-0.401	-0.163
"668"	0.153	0.045	NA	NA	-0.154	-0.859	-0.691
"669"	0.236	0.111	NA	0.071	-0.015	0.093	-0.33
"670"	-0.389	-0.616	NA	-0.063	-0.149	0.855	0.483
"671"	-0.34	-0.602	NA	-0.175	-0.73	0.691	0.15
"672"	-0.179	-0.36	NA	-0.222	0.057	0.776	0.943
"673"	-0.201	-0.176	0.138	-0.01	-0.857	-1.21	-0.583
"674"	-0.057	-0.068	-0.212	0.071	-0.338	-0.347	0.089
"675"	0.013	0.366	0.469	0.481	0.475	0.411	1.074
"676"	0.146	-0.008	-0.243	-0.675	-0.446	-1.465	-1.277
"677"	0.247	-0.185	-0.265	-0.388	-0.531	0.239	0.26
"678"	0.216	-0.257	-0.576	-0.619	-0.431	-0.035	0.325
"679"	0.06	0.027	-0.428	-0.745	-0.701	-1.194	-0.923
"680"	0.377	0.324	0.203	-0.4	-0.325	-0.381	-0.42
"681"	0.098	0.128	0.338	0.265	0.237	-0.174	-0.147
"682"	0.166	0.104	-0.154	-0.072	0.114	-0.102	-0.119
"683"	0.103	0.071	-0.14	-0.088	0.153	-0.475	-0.272
"684"	0.123	-0.168	-0.31	-0.395	-0.538	-0.287	-0.146
"685"	-0.348	-0.387	-0.434	-0.256	-0.407	-0.4	-0.515
"686"	-0.309	-0.317	-0.355	-0.249	-0.618	0.084	-0.242
"687"	-0.181	-0.372	-0.016	0.345	0.333	1.172	1.061
"688"	0.088	0.128	0.044	-0.053	0.143	-0.139	-0.057
"689"	0.03	-0.278	0.093	0.001	-0.124	0.102	-0.119
"690"	0.039	-0.045	0.496	0.494	0.42	0.392	-0.084
"691"	0.121	-0.294	-0.378	-0.137	-0.24	-0.329	-0.881
"692"	0.09	-0.321	0.518	0.125	-0.085	-0.246	-0.212
"693"	0.074	-0.248	0.258	0.396	0.367	0.28	0.131
"694"	0.054	-0.122	0.712	0.362	0.069	0.109	-0.331
"695"	-0.103	-0.467	-0.19	0.149	0.236	0.615	0.968
"696"	0.071	-0.015	0.196	0.032	-0.338	0.396	-0.176
"697"	0.021	NA	-0.302	-0.064	-0.115	-1.232	-1.618
"698"	0.108	NA	0.033	0.085	-0.007	-0.505	-0.77
"699"	-0.246	NA	0.444	0.027	-0.244	0.443	-0.011
"700"	0.022	NA	0.521	0.304	0.234	0.907	0.72
"701"	0.104	NA	-0.012	-0.252	-0.631	-0.405	-0.662
"702"	0.027	NA	0.139	0.079	-0.033	0.535	0.205
"703"	-0.088	-0.18	NA	-0.157	-0.054	-0.08	-0.267
"704"	-0.656	-0.59	NA	NA	0.031	0.875	0.565
"705"	0.066	-0.057	NA	NA	-0.041	0.451	-0.125
"706"	0.154	0.418	NA	NA	-0.418	-0.5	-0.652
"707"	0.025	-0.146	NA	NA	0.153	-0.517	-0.059
"708"	0.155	0.42	NA	NA	0.47	-0.395	-0.842
"709"	0.213	0.187	NA	0.208	0.246	0.521	0.345
"710"	0.223	0.253	0.285	0.055	-0.328	0.883	0.459
"711"	-0.078	-0.318	0.391	0.043	0.235	0.735	0.444
"712"	-0.2	-0.204	0.406	0.238	-0.025	0.944	0.802
"713"	0.279	0.209	0.087	-0.38	-0.578	-0.63	-1.011
"714"	0.194	0.059	0.158	0.101	0.161	0.582	0.855
"715"	-0.19	-0.267	-0.137	-0.124	0.02	0.358	1.033
"716"	0.182	0.068	0.701	0.557	0.463	0.684	1.129
"717"	0.363	0.444	0.269	-0.273	-0.112	-1.824	-1.848
"718"	0.394	0.465	0.058	0.243	-0.153	-0.453	0.312
"719"	0.068	-0.189	0.209	0.017	-0.031	1.164	0.666
"720"	0.052	-0.15	0.263	-0.024	-0.138	0.798	0.474
"721"	-0.123	-0.286	-0.302	-0.074	0.078	0.673	0.417
"722"	-0.035	-0.496	-0.301	-0.979	-1.408	-1.521	-1.375
"723"	0.005	-0.299	-0.218	-0.058	-0.044	-0.238	-0.788
"724"	-0.015	-0.208	-0.197	0.072	0.192	0.311	0.184
"725"	-0.392	-0.755	-0.822	-0.505	-0.347	0.386	0.109
"726"	0.072	-0.109	-0.048	0.174	0.383	0.282	-0.333
"727"	0.076	-0.123	-0.237	-0.004	0.037	0.217	-0.007
"728"	-0.037	0.044	-0.047	0.169	0.342	-0.252	-0.635
"729"	0.042	0.026	-0.188	-0.041	0.001	0.72	0.594
"730"	-0.064	-0.008	0.064	0.113	-0.357	-0.874	-0.342
"731"	-0.21	-0.546	-0.46	-0.187	-0.248	-0.251	-0.458
"732"	0.205	0.046	0.043	0.268	0.049	-0.37	-0.516
"733"	0.056	-0.086	-0.452	-0.607	-0.589	-1.077	-1.466
"734"	-0.169	-0.376	-0.028	-0.161	-0.426	-0.109	0.762
"735"	-0.018	-0.31	-0.524	-0.415	-0.483	-1.946	-2.066
"736"	-0.119	-0.238	-0.303	0.154	0.103	0.923	0.553
"737"	0.073	NA	0.024	0.269	0.086	0.453	0.195
"738"	0.192	NA	-0.024	0.228	0.218	0.145	-0.032
"739"	-0.037	NA	-0.093	-0.148	-0.266	-0.852	-0.359
"740"	-0.115	NA	-0.265	-0.102	-0.251	-0.218	-0.188
"741"	0.06	-0.041	-0.219	0.24	NA	-0.948	-1.155
"742"	0.002	-0.29	-0.272	-0.391	NA	-0.899	-0.943
"743"	-0.289	-0.459	NA	0.366	0.175	2.083	0.598
"744"	-0.372	-0.723	NA	NA	-0.227	0.233	-0.008
"745"	-0.078	-0.324	NA	NA	-0.211	0.348	-0.294
"746"	0.109	0.02	NA	0.224	0.369	0.396	0.002
"747"	0.139	-0.043	NA	0.127	0.081	-0.439	-1.019
"748"	-0.404	0.614	0.812	0.217	0.248	1.111	0.754
"749"	-0.585	-1.166	-0.876	-0.607	-0.265	1.407	1.277
"750"	0.144	0.208	0.629	1.143	1.251	1.628	1.01
"751"	0.261	0.006	0.282	0.181	0.203	1.075	-0.134
"752"	0.231	0.128	0.289	-0.09	-0.346	-0.268	-0.102
"753"	0.174	0.118	0.319	-0.026	-0.297	0.095	-0.647
"754"	-0.439	-1.044	-0.028	-0.203	-0.784	1.284	0.581
"755"	-0.112	-0.495	-0.209	-0.523	-0.759	0.95	1.522
"756"	-0.045	-0.185	-0.457	-0.292	-0.161	-1.126	-1.561
"757"	0.142	0.487	0.744	0.588	0.747	3.083	1.785
"758"	0.048	0.042	0.037	-0.061	0.091	0.395	0.308
"759"	-0.882	-1.032	0.763	-0.066	-2.079	1.544	1.091
"760"	-0.239	-0.758	0.211	-0.318	-0.129	1.07	0.637
"761"	-0.886	-0.834	0	-0.473	-0.564	0.467	0.391
"762"	-0.581	-0.691	-0.187	-0.176	-0.324	0.748	0.44
"763"	-0.245	-0.497	-0.251	0.013	-0.542	0.383	-0.329
"764"	-0.264	-0.448	-0.024	-0.152	-0.238	0.882	0.239
"765"	-0.42	-0.548	-0.658	-0.225	-0.489	0.413	-0.061
"766"	-0.181	-0.327	-0.404	-0.072	-0.162	0.114	-0.391
"767"	-0.646	-1.034	-0.388	-0.251	-0.376	0.818	0.517
"768"	-0.346	-0.513	-0.621	-0.247	-0.146	-0.153	-0.183
"769"	0.122	0.026	-0.122	-0.155	-0.187	-0.712	-0.531
"770"	-0.13	-0.162	0.547	0.421	0.384	0.258	-0.128
"771"	0.202	0.016	0.231	0.545	0.386	1.184	0.924
"772"	-0.27	-1.566	0.916	1.33	1.162	2.328	2.498
"773"	0.313	0.144	0.329	0.432	0.022	0.417	-0.031
"774"	0.276	0.133	0.693	1.016	0.959	1.021	0.757
"775"	0.138	0.1	0.102	0.273	0.155	-0.07	-0.165
"776"	-0.277	-0.716	0.195	0.366	-0.073	0.675	1.038
"777"	-0.079	NA	0.523	0.323	0.118	0.675	1.301
"778"	-0.003	NA	-0.091	-0.007	-0.029	0.334	0.461
"779"	-0.238	NA	0.513	0.423	0.464	1.343	0.891
"780"	-0.339	-0.248	-0.049	0.306	-0.174	1.013	0.851
"781"	-0.608	-1.733	-1.309	0.171	NA	1.22	0.973
"782"	0.073	0.231	NA	0.157	NA	-0.704	-0.277
"783"	-0.094	-0.06	NA	0.239	0.352	0.775	0.626
"784"	0.235	-0.052	NA	NA	0.268	0.382	-0.037
"785"	-0.727	-1.002	NA	NA	0.204	1.034	0.565
"786"	-0.588	-0.944	NA	0.228	-0.283	1.546	1.382
"787"	0.254	0.303	NA	0.464	0.468	0.323	0.069
"788"	0.046	-0.049	0.053	0.229	0.191	0.411	0.339
"789"	0.148	0.14	-0.195	0.232	0.235	0.84	1.048
"790"	0.05	0.176	0.383	0.588	0.668	1.114	1.23
"791"	0.175	0.243	-0.013	0.116	0.186	-0.027	0.21
"792"	-0.166	-0.375	0.153	-0.025	-0.257	0.638	NA
"793"	-0.163	-0.461	-0.128	-0.132	-0.051	0.618	0.163
